worker_id,name,city,state,zipcode,ssn,age,email,phone_number,salary,birth_date,iq,scs,hire_month,hire_year,current_latitude,current_longitude,license_plate,productivity
8ou4p37,Mrs. Dawn Stephens,Twin Falls,ID,85861,498-99-0106,54,mdawn@byui.edu,1364484248,76000,1968-3-11,98,942,4,2000,-53.117522,-57.670891,303 PVX,88
HZQaIkH,Mark Collins,Hayden Lake,ID,79796,135-85-7594,64,mcollins@byui.edu,(218)109-1188,80000,1958-6-9,112,807,6,1987,-24.3325415,-158.967901,PPC-766,51
Z656mx7,Sharon Simon,Burley,ID,64021,650-99-4512,40,ssimon@byui.edu,(664)624-6548x28765,122000,1982-5-1,105,771,8,2022,-8.3166825,125.259315,60SK2,79
o0hDy4x,Samantha Maynard,Mullan,ID,16310,123-68-2220,50,smaynard@byui.edu,3679600722,111000,1972-1-3,96,895,10,2007,-59.23351,-135.829502,113W6,52
26VVmpn,Jamie Watkins,Carey,ID,94054,043-48-7254,42,jwatkins@byui.edu,586.292.2070x7652,82000,1980-4-14,128,862,4,2018,-62.1474985,-47.035681,VDQ-417,74
xETe2f1,Kyle Castillo,Lake Jennifer,Indiana,97032,649-30-7150,51,kcastillo@byui.edu,4233957654,78000,1970-9-2,124,749,1,2003,-27.029146,-165.770732,508FZ,73
nXUml0N,Eric Hall,Kendrick,ID,40787,530-70-8026,42,ehall@byui.edu,(964)279-4034,102000,1980-3-5,103,922,11,2017,-14.983635,-83.678646,4BC E67,66
x9id303,Mark Snyder,Hailey,ID,49519,313-13-2113,47,msnyder@byui.edu,131.652.3866,99000,1975-3-19,101,843,4,2012,-76.7501425,43.52384,232041,77
7ZpL2XA,Kenneth Taylor,Stites,ID,80889,618-14-4817,63,ktaylor@byui.edu,742-075-1445,74000,1959-6-25,128,883,2,1991,39.3956035,9.804078,KJ 16580,86
s9O8rhs,Lawrence Wright,St. Maries,ID,30719,732-50-8985,63,lwright@byui.edu,+1-421-438-9259,115000,1959-3-1,128,757,11,2009,-68.6003155,152.029694,122-QRP,62
OGja3QO,Bailey Cook,Post Falls,ID,4594,527-25-4084,55,bcook@byui.edu,372.571.3639x278,117000,1966-11-27,125,765,9,1997,80.0144215,131.81241,989-HRD,98
NxzQ6I1,Margaret Lopez,Moyie Springs,ID,1099,007-87-1895,51,mlopez@byui.edu,282.623.0473x267,104000,1970-11-18,126,870,5,2012,-65.493498,76.672749,1HJO534,83
uIYY1Ji,Amy Reeves,Malta,ID,33423,549-05-3866,51,areeves@byui.edu,+1-132-288-1566,121000,1970-8-17,114,758,10,2017,-21.063939,149.519307,74E V53,94
xH41G0k,Kim Lopez,American Falls,ID,35136,675-94-8896,67,klopez@byui.edu,+1-040-639-1603x9277,108000,1955-1-27,100,925,6,1989,-17.2756595,149.125623,1V791,70
boxw63g,Erin Rodriguez,Ponderay,ID,37169,643-05-1843,43,erodriguez@byui.edu,(911)324-1942x5266,92000,1979-6-4,95,796,6,2010,51.3409695,113.425105,7I133,85
2nZ9UYy,Sarah Stuart,Blackfoot,ID,20369,583-63-2570,40,sstuart@byui.edu,(738)926-7329,117000,1982-1-9,96,776,4,2020,54.3026755,150.405858,397 ASV,68
pB7u2aI,Barbara Edwards,Clayton,ID,60667,284-64-7252,69,bedwards@byui.edu,001-521-226-6197x6327,74000,1953-2-22,108,795,5,1988,-22.4321305,94.157298,9WH Q85,69
kzeZe49,Kristin Anderson,Rigby,ID,27891,263-35-9537,65,kanderson@byui.edu,009-104-7697,109000,1957-5-14,129,794,7,1987,-54.4181985,105.642656,ZGF-428,81
Mb1h17C,Pamela Mcconnell,Cottonwood,ID,18124,878-67-0614,61,pmcconnell@byui.edu,315-073-2163,109000,1960-10-23,105,782,11,1992,-14.4479955,106.860032,A77 4SK,65
h708B65,Heather Figueroa,Horseshoe Bend,ID,31089,049-12-5949,56,hfigueroa@byui.edu,(817)728-5997x8070,109000,1966-5-11,113,865,11,2014,55.8992505,156.90371,189 QT8,50
EXx56Iq,Thomas Robinson,Island Park,ID,37934,855-06-0946,37,trobinson@byui.edu,001-294-303-4149,76000,1984-9-1,102,783,5,2022,-28.651811,-53.84049,158 IXG,59
wiWR17P,Krystal Brooks,Rupert,ID,9085,894-90-8665,48,kbrooks@byui.edu,(955)359-5209,104000,1974-5-3,104,796,6,2013,-50.638012,123.62025,WZC-5612,63
JX7NFfs,Joseph Greer,Albion,ID,36660,460-84-7784,60,jgreer@byui.edu,905-717-3290x035,77000,1962-6-14,111,814,5,1994,-55.6958655,-154.445959,2-K8640,65
V2liMCG,Brad Whitaker DDS,Culdesac,ID,28936,721-01-8170,46,bwhitaker@byui.edu,001-428-524-5422x2156,101000,1976-1-22,99,934,9,2014,79.5935505,104.185672,MZA 055,93
bFR69m5,Steven Barker,Genesee,ID,17590,693-22-9082,37,sbarker@byui.edu,001-381-587-2574x42360,119000,1984-7-2,110,761,12,2022,-48.496554,-11.314887,3-76078,80
YW9b4N6,Michael Wheeler,Lewiston,ID,79686,753-32-3936,68,mwheeler@byui.edu,+1-742-793-1785,93000,1953-9-7,116,785,9,1995,-81.9173775,176.799241,4J 0I3XBI,73
9kt9464,Caitlin Johnson,Priest River,ID,44411,355-87-7691,69,cjohnson@byui.edu,593-413-1599x51776,79000,1953-4-16,103,769,5,1998,88.2532785,54.915971,KYR 272,73
j5Jg4y9,Tanya Fisher,McCammon,ID,99217,338-15-0370,38,tfisher@byui.edu,7213702591,102000,1984-3-14,110,778,5,2022,-86.540027,-150.175472,741 VLS,95
r32sfY2,Nancy Garcia,Ryanland,Connecticut,82800,891-89-6862,51,ngarcia@byui.edu,001-564-504-4701,121000,1970-9-21,115,917,11,2006,53.460216,-163.439044,CP1 L2Q,73
85Ii48J,Scott Stevenson,Glenns Ferry,ID,1548,479-24-3633,49,sstevenson@byui.edu,311-612-1675,110000,1973-4-14,128,794,6,2005,-87.846684,140.596918,1ID N39,82
KLsA1lH,Michael Mendez,Homedale,ID,29627,481-46-6770,42,mmendez@byui.edu,001-316-551-0566,121000,1979-7-19,126,738,4,2022,-58.598979,-47.32085,74-33061,63
x2SbaCa,Heidi Robinson,Buhl,ID,13998,266-96-3325,45,hrobinson@byui.edu,0842946510,123000,1977-6-9,128,729,8,2022,-72.4362225,-150.977363,591 XH8,84
kdKymm8,Christopher Harris,Ammon,ID,25439,603-95-6954,66,charris@byui.edu,9788760931,71000,1956-5-23,117,735,4,1985,-4.9968105,70.095134,734-TJI,70
tRe2Xfp,Jamie Mills,Ketchum,ID,78549,001-49-0283,40,jmills@byui.edu,706.263.0478,114000,1982-2-4,121,728,8,2022,57.0776085,164.201432,837781,91
ll5skv3,Adam Estrada,Wardner,ID,25630,118-66-1830,46,aestrada@byui.edu,498.144.8051,73000,1976-2-26,125,775,1,2019,47.413867,-66.389722,R84-BUS,94
8w4yvK1,Sarah Turner,White Bird,ID,10440,896-12-2343,42,sturner@byui.edu,6958948339,101000,1979-9-14,123,851,5,2012,-5.77563,-2.137524,V80 7LU,71
ZU8g2CH,Sean Gonzalez,Bloomington,ID,32375,875-72-7192,47,sgonzalez@byui.edu,+1-384-834-4574x166,91000,1975-2-15,113,812,1,2006,21.580944,-163.139469,046 KJF,66
60M8lR0,Natasha Holt,Ponderay,ID,90034,522-43-7488,52,nholt@byui.edu,345.026.6844x05749,105000,1969-7-27,125,829,1,2013,-12.8560765,-115.17423,4NM E65,100
4n0476N,Brittney Marshall,St. Anthony,ID,30187,451-44-7339,70,bmarshall@byui.edu,001-874-575-7804x37025,117000,1952-3-18,108,947,6,2001,63.526489,28.448577,MJL 611,60
W1maC69,Gregory Woods,Hamer,ID,56051,772-62-3307,51,gwoods@byui.edu,997.151.1505x0188,115000,1971-5-19,103,873,11,2001,-72.030477,-96.54132,419 3PF,99
5v96CHg,David Acevedo,St. Maries,ID,75988,298-85-7547,62,dacevedo@byui.edu,+1-428-721-2535x07849,99000,1960-6-24,98,786,4,1992,84.1964835,85.026075,728 MOD,85
DgaO09R,Elizabeth Johnson,Mackay,ID,98975,798-37-1434,45,ejohnson@byui.edu,113-319-9368,115000,1976-10-19,119,879,8,2006,-62.8472485,-157.98459,413817,54
68m5Cbm,Joanna Russell,Ririe,ID,89041,213-13-4323,48,jrussell@byui.edu,3092941098,75000,1973-9-22,120,894,9,2008,-7.9517315,-81.639478,01Q�883,89
d90m0fW,John Knight,Marsing,ID,47289,606-32-3567,49,jknight@byui.edu,056-876-4824x619,108000,1972-9-6,103,753,5,2022,62.054296,32.843316,8GV 304,73
2x1XA8S,Mario Ortiz,Grangeville,ID,23218,581-97-1255,45,mortiz@byui.edu,001-488-654-8532x337,85000,1976-9-9,103,830,10,2013,49.2134955,-66.745478,954 WTF,74
8stMejB,Jasmine Taylor,Wendell,ID,16690,273-89-5735,41,jtaylor@byui.edu,992.520.6452x03044,88000,1980-11-19,121,843,10,2013,-60.784709,-1.47561,D59 2OQ,60
3015bHG,Kayla Oneill,Butte City,ID,98153,433-98-9433,43,koneill@byui.edu,767.642.7051x2424,93000,1979-5-25,122,823,6,2022,70.4467705,70.448976,37H U92,63
QF7q4JX,Crystal Mcintosh,White Bird,ID,27406,770-50-9092,46,cmcintosh@byui.edu,2523699201,99000,1976-2-26,127,826,10,2005,-17.058602,7.708315,RXS9296,66
864173e,Karen Martin,Ponderay,ID,41461,258-39-8767,48,kmartin@byui.edu,882.396.9978x552,113000,1974-2-7,109,878,6,2013,-71.6631945,171.463172,Y37 1YA,73
TX7Ga17,Megan Bauer,Eden,ID,74687,877-41-8792,49,mbauer@byui.edu,001-120-789-5658x57069,103000,1973-1-7,128,946,2,2017,-0.422017,35.82167,ECW-562,54
0R7xONz,Nathan Cox,Leadore,ID,61009,833-78-1612,46,ncox@byui.edu,(201)896-6765,119000,1975-8-20,96,936,3,2022,26.93438,-134.729844,781 USZ,84
7D23bVM,Mark Montoya,Minidoka,ID,70105,715-27-2786,63,mmontoya@byui.edu,571-836-4049x647,108000,1959-3-23,121,726,3,2009,58.6226005,-141.421245,9L 9X9VIQ,100
CwzMO5t,Alec Vargas,Weippe,ID,76958,551-34-8056,55,avargas@byui.edu,+1-221-100-1814x413,84000,1967-6-13,120,926,10,2003,-43.287113,124.394154,WED3781,53
9H9Bf3N,Sandra Parker,Hope,ID,19598,306-35-3483,48,sparker@byui.edu,363.640.7851,108000,1974-3-2,105,793,9,2022,-71.217357,-93.972239,ZMV-986,67
58wF4k4,Janet Lane,East Christophermouth,Nevada,12330,345-15-3886,38,jlane@byui.edu,(034)016-0221,119000,1984-4-8,121,730,11,2019,58.9697585,-27.960687,321 2MC,100
ZWvh0d7,Deborah Garcia,Harrison,ID,49861,469-13-9074,43,dgarcia@byui.edu,001-828-893-6464x22132,83000,1978-10-3,113,935,11,2022,-26.570297,-59.15835,C66 3RH,82
XGN03eU,Alisha Brooks,North Michaelfort,Delaware,11416,589-99-2064,68,abrooks@byui.edu,513.426.5256x3084,122000,1954-2-10,123,799,12,1984,-86.851028,8.338799,ARS 631,82
HWH7W8A,David Dodson,Mullan,ID,29365,583-77-7889,40,ddodson@byui.edu,(860)299-2908x8074,118000,1981-8-3,129,834,4,2015,-80.521362,-41.193121,OKJ 143,67
315Qu3a,Rita Landry,Hayden,ID,77467,640-50-0884,51,rlandry@byui.edu,(673)708-2362,104000,1970-11-26,128,898,6,2018,-58.8524325,173.932067,166 YXJ,77
CXD3A32,Peter Compton,Notus,ID,89677,404-66-5733,63,pcompton@byui.edu,(231)424-5423x915,115000,1959-3-12,120,773,1,2003,61.9605585,55.163139,608 JON,79
8eFsQwW,Jennifer Kennedy,Winchester,ID,59169,741-34-0033,41,jkennedy@byui.edu,240.922.1124x19065,104000,1981-4-24,111,941,7,2012,-48.763103,140.435489,265QJ,86
OSny2Uo,Daniel Jones,Fernan Lake,ID,56214,161-40-3997,60,djones@byui.edu,8003169722,119000,1962-5-21,117,736,11,1992,-56.1016105,34.841606,A80 5YZ,67
mX3z8WA,Kathleen Wilkinson,Huetter,ID,15724,783-77-0938,45,kwilkinson@byui.edu,+1-494-437-9535,70000,1977-3-6,97,899,11,2022,-32.598771,-45.644061,7LPJ562,74
Mi01JA6,Shannon Castro,Leadore,ID,12425,136-04-7603,69,scastro@byui.edu,343.648.0736x4510,98000,1952-10-16,105,897,3,2001,-67.2011755,-65.919763,OV 2239,89
dHLlb27,Katelyn Bean,Troy,ID,94081,356-10-7790,59,kbean@byui.edu,001-115-280-4558,92000,1962-10-11,117,913,12,1996,42.758743,-166.119703,5CY 149,72
jFZvf86,Curtis Bird,Ammon,ID,96633,171-37-5030,37,cbird@byui.edu,6946654712,92000,1984-9-17,112,743,7,2022,82.955663,68.949462,9330 MB,48
4T05jKv,Charles Harper,Cottonwood,ID,20544,192-35-6919,54,charper@byui.edu,(518)794-1113x99808,116000,1967-7-22,103,945,2,2011,51.517308,65.906993,764 MT5,79
D759Vs0,David Stephens,Cambridge,ID,47392,897-56-2540,60,dstephens@byui.edu,716-296-5107,105000,1962-4-2,127,926,3,1999,-75.2874295,5.444586,0PI 258,77
c4sy6qs,Aaron Keller,Heyburn,ID,57613,084-82-5632,51,akeller@byui.edu,480.393.9327x62753,110000,1971-6-18,108,742,4,2008,83.9820135,141.775387,23-XK58,88
LguiPh7,Melissa Allen,Wendell,ID,4363,020-10-8257,64,mallen@byui.edu,923-792-0138x56599,96000,1958-1-21,112,837,5,1989,55.911382,-87.756528,40-FE71,80
9EOW215,William Ford,Horseshoe Bend,ID,51986,721-98-2382,47,wford@byui.edu,633.419.9688x1340,71000,1974-8-20,117,742,5,2014,44.519677,151.388792,5R K6086,83
anp9vSG,Eric Sims,Elk River,ID,29579,796-67-7225,66,esims@byui.edu,483-047-9040x1786,122000,1955-10-2,117,835,4,1989,-43.5226405,97.785093,569Q9,65
RtXen8W,Brandon Potter,Mountain Home,ID,85100,377-80-3947,54,bpotter@byui.edu,001-073-058-1481x4000,97000,1967-8-5,97,751,8,2003,7.1999625,-128.151686,2-X7609,78
fxN5aNw,Tanya Peterson,Victor,ID,1922,402-84-2339,69,tpeterson@byui.edu,702-666-9687x63217,84000,1953-2-1,97,945,3,1997,86.6295185,79.207686,24-6811U,64
2h0SooE,Brent Dudley,Idaho Falls,ID,14880,538-22-6984,62,bdudley@byui.edu,(825)648-1996x075,88000,1959-9-3,113,918,5,2009,-38.25769,-41.393921,56QG824,78
c2MWtm0,Jonathan Jackson DDS,Hauser,ID,64457,609-86-2867,61,jjackson@byui.edu,253.249.5084x8319,82000,1961-5-8,109,939,2,2006,-40.0931105,109.549046,Q17 8SB,89
6HB4Ni0,Christopher Hines,Driggs,ID,29735,546-11-0174,37,chines@byui.edu,(260)910-8881x0484,76000,1984-10-8,119,839,1,2015,-88.545882,41.465475,BJA-089,73
ChrkndI,Joe Washington,Weippe,ID,25599,546-48-1948,59,jwashington@byui.edu,163.032.9029,118000,1963-4-6,125,928,11,1992,51.288938,127.389756,569607,58
6w0LmTf,Tina Stanley,Declo,ID,21684,093-47-9587,67,tstanley@byui.edu,+1-280-455-9612x180,122000,1954-9-1,116,822,12,1999,-38.1676,-100.431617,C52 4ZK,51
114v28A,Ashley York,Priest River,ID,32808,418-68-7794,48,ayork@byui.edu,001-611-041-6663,110000,1973-11-23,123,921,9,2020,29.892476,21.244135,L51 8GK,79
Wli4979,Erica Parks,Ferdinand,ID,11356,793-22-9856,52,eparks@byui.edu,001-772-313-9910x14190,85000,1969-9-3,106,767,6,2010,-52.633574,-47.095307,66-I361,88
H0nWZkB,Stephanie Harris,Rockland,ID,91152,295-67-3693,47,sharris@byui.edu,+1-679-451-2043,113000,1975-6-21,125,891,1,2022,63.959841,-148.835371,092 CZA,83
Dhciai7,Colin Davis,Soda Springs,ID,59983,628-92-0566,62,cdavis@byui.edu,0392821695,82000,1959-8-17,109,792,5,1996,-24.669996,-130.344596,9508,84
FGIx7hA,John Johnson,Reubens,ID,89223,777-01-8647,45,jjohnson@byui.edu,+1-731-049-5188x492,99000,1977-3-12,115,741,6,2022,-29.937849,-115.702311,TFY-5992,78
3LP7FaK,Heather Shepard,Plummer,ID,941,417-32-9864,56,hshepard@byui.edu,+1-973-035-5131x94803,107000,1965-7-4,110,901,9,2004,28.8778495,98.68735,MTO 154,80
2f88f9s,Chase Davis,Lake David,Utah,46329,434-48-1677,55,cdavis@byui.edu,001-098-641-5655x142,124000,1966-7-24,123,804,9,2007,-83.82779,8.658639,5DI 871,94
Fnh95nR,Tina Coffey,Marsing,ID,23168,072-82-5308,44,tcoffey@byui.edu,001-702-132-4798x409,115000,1978-3-11,123,754,2,2022,80.2184875,54.865387,ZLL 589,71
GLBr8Za,Jeffrey Holloway,Elk River,ID,37047,272-63-4255,41,jholloway@byui.edu,001-699-706-5874x5309,80000,1981-1-26,121,839,9,2020,-82.463743,-106.932447,EVK 428,98
1VHv72l,Bradley Johnson,Bonners Ferry,ID,59818,168-52-9406,51,bjohnson@byui.edu,445.269.8424x930,88000,1970-10-11,99,905,6,2008,-53.400932,-45.968071,763 GHN,73
xAihlEv,Alicia Price,Hagerman,ID,61147,013-27-7682,60,aprice@byui.edu,576.026.9760x6210,83000,1961-11-4,95,827,6,1998,12.3838585,-131.339192,IVC4187,86
ueQ81zw,Devon Garcia,Warm River,ID,91853,464-08-6532,55,dgarcia@byui.edu,001-569-161-2436,87000,1966-9-2,127,783,2,2008,12.6490705,80.442932,9WR29,83
R56qP95,Marisa Peterson,Elk River,ID,98020,832-46-1529,46,mpeterson@byui.edu,864-312-9067x06695,115000,1976-4-3,109,895,10,2010,85.351839,81.229385,ZWA 544,64
L54I3aM,Jesse Stewart,Kootenai,ID,77781,151-34-4536,55,jstewart@byui.edu,001-257-117-3401x60592,117000,1966-10-13,104,924,4,1998,16.599662,126.366529,630 CUQ,60
4CJ5JIM,Brandy Hall,Rexburg,ID,82890,184-97-7055,45,bhall@byui.edu,396-119-1418,105000,1976-7-8,129,918,4,2007,-62.1183745,113.602513,SHC-482,60
1bTl9L8,David Cochran,Sandpoint,ID,2887,471-04-9601,46,dcochran@byui.edu,111-406-7708x665,90000,1976-1-13,112,900,6,2007,-76.2190395,-24.257781,VYF5364,61
NNQggu4,Matthew Johnson,Clark Fork,ID,50547,522-55-0421,62,mjohnson@byui.edu,836.064.2268x0148,124000,1960-2-2,108,930,11,2007,37.1094105,-133.524303,KLV-008,76
e6p0Ly7,Micheal Barton,Idaho Falls,ID,8358,128-79-8358,63,mbarton@byui.edu,(482)582-8119x880,78000,1959-2-17,103,733,9,2009,-6.2801585,-165.646249,6UP P90,56
uqC1vwY,Justin Riley,Grace,ID,69255,709-01-4910,43,jriley@byui.edu,001-170-360-0831x750,107000,1979-5-22,122,847,8,2022,-86.276524,50.134668,YF7 H4B,72
4Ep461J,Jerome Davis,Peck,ID,42846,291-64-5668,59,jdavis@byui.edu,609-732-7937x50298,112000,1962-11-16,117,922,11,1999,-49.8265185,-133.652319,492-ZOBK,56
a4p46gf,Angel Nelson,Meridian,ID,47196,599-76-9243,48,anelson@byui.edu,580-048-9703x881,102000,1974-1-2,113,882,8,2003,64.8112615,121.533166,954 NRK,79
sDPil76,Michael Reed,Idaho Falls,ID,38176,825-97-4196,41,mreed@byui.edu,001-025-730-7445,98000,1981-5-8,124,755,9,2022,-67.92524,-17.406606,820ILI,52
8cP8hl1,Alex Flores,Malad,ID,57919,508-92-4767,41,aflores@byui.edu,108-605-7962,74000,1980-9-9,128,905,5,2019,-23.9373825,-107.312014,6TL P12,76
3o7b24a,Faith Sanchez,Emmett,ID,92786,206-53-3435,49,fsanchez@byui.edu,556-293-7349x670,77000,1973-5-14,99,854,4,2022,-61.686439,100.087001,227-ICXO,54
G41fqxQ,Danielle Chavez,Malad,ID,16489,231-21-1478,54,dchavez@byui.edu,7115138410,78000,1967-11-21,124,864,2,2014,-21.8424835,42.286933,GFZ-8851,70
LP71UOW,Christine Marquez,Jenniferport,Nebraska,93407,181-73-1016,47,cmarquez@byui.edu,739.465.9694x321,123000,1975-2-4,103,783,5,2007,27.9441575,-16.23096,QLN 548,93
41HGBea,Daniel Garcia,Deary,ID,57424,837-84-6057,68,dgarcia@byui.edu,001-301-354-0482x160,119000,1953-11-19,116,825,1,2002,89.2794685,1.61294,QOH 092,85
WNKBpkX,Gary Perez,Hayden Lake,ID,84866,487-84-5748,69,gperez@byui.edu,+1-563-577-9816x90180,104000,1952-8-9,125,783,4,1991,-43.927063,110.581528,FSB 004,77
z6774W3,Daniel Gibson,Firth,ID,67826,327-59-5914,45,dgibson@byui.edu,+1-838-877-7523x721,113000,1976-9-1,113,815,2,2022,9.0422955,-143.219851,686TOQ,79
2iQ3klx,Mr. Patrick Peck,Sandpoint,ID,77059,329-58-3547,56,mpatrick@byui.edu,0572440823,113000,1966-1-23,99,728,2,2011,41.4387195,-139.849378,MHA 382,55
lEu1DB2,Kimberly Smith,Donnelly,ID,41115,561-50-1195,56,ksmith@byui.edu,(986)465-8607,117000,1965-9-26,97,772,3,2004,83.9171035,9.999499,UK 9204,70
XT7b3VP,Ashley Patterson,Ashton,ID,53441,333-01-7463,55,apatterson@byui.edu,001-214-042-4677x4150,83000,1966-8-23,107,797,12,1999,10.7774345,17.070963,722705,95
ArGxuj2,Jacob Guzman,South Thomasport,Alaska,70746,821-87-3425,59,jguzman@byui.edu,001-000-409-4496,111000,1962-8-18,109,791,4,2012,-14.5731565,28.184063,13O 7904,72
4W0UJS2,Timothy Brown,Notus,ID,66903,664-54-1196,66,tbrown@byui.edu,(043)021-1106,81000,1955-8-25,121,891,8,1999,-26.31036,-93.673137,27K�088,62
ShZTS11,Crystal Green,Hagerman,ID,29303,846-57-2574,50,cgreen@byui.edu,001-201-396-6000x6923,85000,1972-2-12,104,887,5,2015,-62.768388,-120.564825,9-H0094,97
8p41P5p,Jenna Cantrell,Sugar City,ID,35278,650-06-5351,60,jcantrell@byui.edu,909-603-5645x8588,108000,1962-6-9,127,907,8,1994,5.078584,74.181448,89N C01,87
HP8F2L6,Anne Phillips,New Meadows,ID,85065,245-62-5475,48,aphillips@byui.edu,+1-251-956-3953x5268,112000,1974-2-6,120,873,2,2022,-18.166379,-71.787678,6WO 358,93
gJZ9G6p,Douglas Bowen,Worley,ID,57472,385-55-8305,65,dbowen@byui.edu,001-899-070-4119x87520,121000,1957-4-19,96,865,11,1987,-65.2389055,162.530862,422 3GM,71
3s350LN,Bryan Hawkins,Hazelton,ID,61620,790-50-5303,41,bhawkins@byui.edu,928-843-5718x733,112000,1980-8-27,119,897,7,2010,12.868735,-37.195156,IQP 430,55
o8aSWcW,Joshua Rose,Ririe,ID,80039,847-63-9314,39,jrose@byui.edu,(716)837-9585x3660,115000,1983-3-8,102,936,7,2016,29.522748,-63.242576,35C 440,61
CB04471,Laura Moore,Warm River,ID,98637,368-93-8589,48,lmoore@byui.edu,601-010-6630,110000,1974-4-4,106,822,2,2005,66.0461875,-57.235296,KKL-7800,70
kzWfj8k,Matthew Rangel,Lewiston,ID,59308,642-38-0738,54,mrangel@byui.edu,+1-142-220-0535,115000,1967-7-18,104,756,12,2006,16.6729725,-89.500421,FTW9444,89
MBO49Y6,David Gonzalez,Basalt,ID,45949,711-35-8687,45,dgonzalez@byui.edu,001-422-188-5718x671,101000,1977-3-8,116,725,11,2021,-85.9549415,54.742529,F39 9GX,82
21E6N3r,Samantha Mcfarland,North Elizabethland,Montana,71664,085-99-5969,49,smcfarland@byui.edu,+1-974-674-9506,106000,1972-7-10,129,763,9,2013,5.495703,-117.01538,REJ 560,87
5FA7sM0,Justin Smith,Grace,ID,83454,465-66-1158,47,jsmith@byui.edu,001-065-847-4770x78665,72000,1974-7-8,114,915,2,2021,64.6198145,-94.647931,KUL 229,78
5147AbX,Erika Johnson,Salmon,ID,7555,444-21-0614,49,ejohnson@byui.edu,+1-081-637-5595,119000,1972-8-10,105,943,10,2020,-82.034922,148.586122,VSL-6978,89
h3od85f,Tiffany Bird,Greenleaf,ID,10063,712-82-4984,61,tbird@byui.edu,001-463-383-1582x412,85000,1960-11-25,103,746,3,2009,60.8683,175.810272,UNK 775,61
17M9b4n,Dawn Butler,Jorgeport,Arizona,46880,790-69-1424,46,dbutler@byui.edu,+1-693-654-4513x097,74000,1975-7-6,119,776,12,2005,-67.004676,-108.784358,85-6619N,90
jbHzKH1,Ryan Patel,Malta,ID,1560,154-81-7420,55,rpatel@byui.edu,+1-458-379-5217x72007,102000,1967-2-8,96,873,10,2005,11.048009,-175.288805,2FI G94,65
LEW19dr,Charles Beck,Chubbuck,ID,81785,345-41-6344,55,cbeck@byui.edu,001-938-791-3158,70000,1966-10-10,98,897,10,1996,-3.2170345,92.682595,305 WVU,77
